bowler,runs_conceded,balls_bowled,wickets_taken,economy
Asad Ali Rehemtulla,370,237,14.0,9.367088607594937
Asad Mohammad,92,80,2.0,6.8999999999999995
Ashfaq Ahmed,34,37,2.0,5.513513513513514
Ashi Chopla,33,47,1.0,4.212765957446809
Ashiqullah Said,34,39,2.0,5.230769230769231
Ashmal Hashmi,92,71,1.0,7.774647887323944
Ashwin Vinod,332,312,17.0,6.384615384615385
Ashwini Balaji,183,138,3.0,7.956521739130434
Asif Ali,162,183,9.0,5.311475409836065
Asif Bevinje,49,44,3.0,6.681818181818182
Asif Iqbal,42,30,4.0,8.399999999999999
Asif Javed,55,83,5.0,3.9759036144578315
Asif Shaikh,92,87,4.0,6.344827586206897
Asim Ashraf,93,44,0.0,12.681818181818183
Aslam Bera,89,60,3.0,8.9
Aslam Mohammad,113,110,6.0,6.163636363636364
Aslan Jafri,91,72,7.0,7.583333333333333
Asmavia Iqbal,462,478,35.0,5.799163179916318
Asrar Ahmed,49,38,1.0,7.7368421052631575
Assad Mehmood,29,43,1.0,4.046511627906977
Ateeq Iqbal,156,218,14.0,4.293577981651376
Atif Kamal,102,85,7.0,7.199999999999999
Atif Mehmood,340,365,20.0,5.58904109589041
Atif Rasheed,11,12,0.0,5.5
Atif-Ur-Rehman,181,213,15.0,5.098591549295775
Attia Diwan Ali,30,32,0.0,5.625
Aung Ko Ko,55,44,3.0,7.5
Avesh Khan,190,121,7.0,9.421487603305785
Avi Dixit,15,7,0.0,12.857142857142858
Avishka Iroshan,44,25,2.0,10.56
Awais Ikram,88,57,4.0,9.263157894736842
Ayan Khan,224,164,4.0,8.195121951219512
Ayaz Dadabhai,94,86,7.0,6.55813953488372
Ayesha Hasan,20,17,0.0,7.0588235294117645
Aysha,463,474,27.0,5.860759493670885
Ayyaz Qureshi,65,47,4.0,8.297872340425533
Azam Khalil,149,141,6.0,6.340425531914894
Aziz Mohammad,201,152,7.0,7.934210526315789
Aziz Sualley,49,48,2.0,6.125
Azri Azhar,26,27,0.0,5.777777777777778
Azyan Farhath,142,134,6.0,6.35820895522388
