batter,total_runs,balls_faced,times_out,strike_rate,average,team
A Hewage,1,7,1.0,14.285714285714285,1.0,Cyprus
A Hlubi,7,6,1.0,116.66666666666669,7.0,South Africa
A Hunter,974,846,26.0,115.13002364066192,37.46153846153846,Ireland
A Husain,6,7,1.0,85.71428571428571,6.0,Argentina
A Igbobie,10,36,2.0,27.77777777777778,5.0,Nigeria
A Ikuzwe,237,273,14.0,86.81318681318682,16.928571428571427,Rwanda
A Ilahi,1,17,3.0,5.88235294117647,0.3333333333333333,Belgium
A Ilaoa,20,20,4.0,100.0,5.0,Samoa
A Iopu,11,36,2.0,30.55555555555556,5.5,Samoa
A Johnson,622,458,22.0,135.80786026200872,28.272727272727277,Canada
A Joshi,9,20,0.0,45.0,9.0,Czech Republic
A Kadowaki Fleming,127,80,2.0,158.75,63.5,Japan
A Kainessie,94,85,6.0,110.58823529411764,15.666666666666666,Sierra Leone
A Kalasi,6,6,0.0,100.0,6.0,Thailand
A Kanada,34,50,2.0,68.0,17.0,Japan
A Kano,125,209,16.0,59.80861244019139,7.8125,Japan
A Kansonkho,2,5,2.0,40.0,1.0,Malawi
A Kanukuntla,54,109,4.0,49.54128440366973,13.5,Germany
A Kapoor,9,4,0.0,225.0,9.0,Canada
A Karmacharya,12,24,4.0,50.0,3.0,Nepal
A Kato-Stafford,70,114,4.0,61.40350877192983,17.5,Japan
A Katoa,31,71,3.0,43.66197183098591,10.333333333333334,Cook Islands
A Kaul,34,47,3.0,72.3404255319149,11.333333333333334,Singapore
A Khaka,11,21,2.0,52.38095238095239,5.5,South Africa
A Khan,20,23,4.0,86.95652173913044,5.0,Denmark
A Kheterpal,130,123,6.0,105.6910569105691,21.666666666666668,Hungary
A Khullar,2,12,3.0,16.666666666666664,0.6666666666666666,Finland
A King,10,15,2.0,66.66666666666666,5.0,Australia
A Kirschbaum,94,122,11.0,77.04918032786885,8.545454545454545,Argentina
A Kitayama,24,43,5.0,55.81395348837209,4.8,Japan
A Kohli,45,67,5.0,67.16417910447761,9.0,Germany
A Kolan,236,293,12.0,80.54607508532423,19.666666666666668,United States of America
A Kone,0,3,1.0,0.0,0.0,Mali
A Konhu,3,5,1.0,60.0,3.0,France
A Kontopirakis,12,11,2.0,109.09090909090908,6.0,Italy
