venue,avg_score,nature
"Svanholm Park, Brondby",138.27272727272728,Balanced
Sydney Cricket Ground,165.04545454545453,Sporting (Batting Friendly)
Sydney Parade,172.5,Sporting (Batting Friendly)
Sydney Showground Stadium,140.25,Balanced
Sylhet International Cricket Stadium,130.62962962962962,Balanced
"Sylhet International Cricket Stadium, Academy Ground",119.0,Rough (Bowler Friendly)
Sylhet Stadium,132.58620689655172,Balanced
"TCA Oval, Blantyre",138.71428571428572,Balanced
Tafawa Balewa Square (TBS) Cricket Oval,158.0,Sporting (Batting Friendly)
"Tafawa Balewa Square Cricket Oval, Lagos",117.04545454545455,Rough (Bowler Friendly)
Takashinga Sports Club,110.33333333333333,Rough (Bowler Friendly)
"Takashinga Sports Club, Highfield, Harare",137.92307692307693,Balanced
Terdthai Cricket Ground,106.88888888888889,Rough (Bowler Friendly)
"Terdthai Cricket Ground, Bangkok",120.03448275862068,Balanced
The Cooper Associates County Ground,199.5,Sporting (Batting Friendly)
"The Cooper Associates County Ground, Taunton",144.0,Balanced
The Rose Bowl,160.1,Sporting (Batting Friendly)
"The Rose Bowl, Southampton",198.83333333333334,Sporting (Batting Friendly)
"The Village, Malahide",163.6,Sporting (Batting Friendly)
"The Village, Malahide, Dublin",149.11111111111111,Balanced
The Wanderers Stadium,183.6,Sporting (Batting Friendly)
"The Wanderers Stadium, Johannesburg",206.4,Sporting (Batting Friendly)
"Three Ws Oval, Cave Hill, Barbados",147.66666666666666,Balanced
Tikkurila Cricket Ground,130.0909090909091,Balanced
"Titwood, Glasgow",162.33333333333334,Sporting (Batting Friendly)
Tolerance Oval,126.77777777777777,Balanced
"Tolerance Oval, Abu Dhabi",123.35,Balanced
Tony Ireland Stadium,106.0,Rough (Bowler Friendly)
Trent Bridge,153.58333333333334,Sporting (Batting Friendly)
"Trent Bridge, Nottingham",208.0,Sporting (Batting Friendly)
Tribhuvan University International Cricket Ground,152.5,Sporting (Batting Friendly)
"Tribhuvan University International Cricket Ground, Kirtipur",152.0681818181818,Sporting (Batting Friendly)
Turf City B Cricket Ground,51.0,Rough (Bowler Friendly)
"UKM-YSD Cricket Oval, Bangi",104.375,Rough (Bowler Friendly)
Udayana Cricket Ground,122.31111111111112,Balanced
United Cricket Club Ground,142.88888888888889,Balanced
"United Cricket Club Ground, Windhoek",124.68,Balanced
University Oval,219.0,Sporting (Batting Friendly)
"University Oval, Dunedin",145.88888888888889,Balanced
University of Dar-es-Salaam Ground,67.875,Rough (Bowler Friendly)
University of Doha for Science and Technology,157.3846153846154,Sporting (Batting Friendly)
University of Lagos Cricket Oval,125.5,Balanced
VRA Ground,121.5,Balanced
"VRA Ground, Amstelveen",114.0,Rough (Bowler Friendly)
Vanuatu Cricket Ground,99.7,Rough (Bowler Friendly)
Vanuatu Cricket Ground (Oval 2),81.75,Rough (Bowler Friendly)
"Vassil Levski National Sports Academy, Sofia",170.66666666666666,Sporting (Batting Friendly)
"Velden Cricket Ground, Latschach",171.22222222222223,Sporting (Batting Friendly)
"Vidarbha Cricket Association Stadium, Jamtha",141.8,Balanced
"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",90.0,Rough (Bowler Friendly)
W.A.C.A. Ground,118.4,Rough (Bowler Friendly)
Wanderers,134.0,Balanced
Wanderers Cricket Ground,142.5,Balanced
"Wanderers Cricket Ground, Windhoek",140.3548387096774,Balanced
Wankhede Stadium,185.42857142857142,Sporting (Batting Friendly)
"Wankhede Stadium, Mumbai",162.4,Sporting (Batting Friendly)
"Warner Park, Basseterre",97.33333333333333,Rough (Bowler Friendly)
"Warner Park, Basseterre, St Kitts",167.5,Sporting (Batting Friendly)
"Warner Park, St Kitts",134.5,Balanced
West End Park International Cricket Stadium,87.0,Rough (Bowler Friendly)
"West End Park International Cricket Stadium, Doha",141.72549019607843,Balanced
Western Australia Cricket Association Ground,159.5,Sporting (Batting Friendly)
Westpac Stadium,152.94444444444446,Sporting (Batting Friendly)
"White Hill Field, Sandys Parish",132.58333333333334,Balanced
Willowmoore Park,148.5,Balanced
"Willowmoore Park, Benoni",150.52941176470588,Sporting (Batting Friendly)
"Windsor Park, Roseau",148.5,Balanced
"Windsor Park, Roseau, Dominica",149.0,Balanced
"Woodley Cricket Field, Los Angeles",108.58333333333333,Rough (Bowler Friendly)
YMCA Cricket Club,132.33333333333334,Balanced
"YSD-UKM Cricket Oval, Bangi",117.04347826086956,Rough (Bowler Friendly)
Yeonhui Cricket Ground,101.6,Rough (Bowler Friendly)
"Yeonhui Cricket Ground, Incheon",120.88888888888889,Balanced
