batter,total_runs,balls_faced,times_out,strike_rate,average
C Bwanali,5,19,0.0,26.31578947368421,5.0
C Campher,440,379,23.0,116.09498680738785,19.130434782608695
C Carter,38,49,2.0,77.55102040816327,19.0
C Cassell,1,3,1.0,33.33333333333333,1.0
C Chatonzwa,15,16,1.0,93.75,15.0
C Chatphaisan,298,300,24.0,99.33333333333333,12.416666666666666
C Chete,33,48,9.0,68.75,3.6666666666666665
C Chukwuonye,68,107,9.0,63.55140186915887,7.555555555555555
C Cirlig,12,30,2.0,40.0,6.0
C Crowe,16,34,1.0,47.05882352941176,16.0
C Cummings,3,11,2.0,27.27272727272727,1.5
C Dickson,43,68,3.0,63.23529411764706,14.333333333333334
C Floyd,21,19,1.0,110.5263157894737,21.0
C Forbes,85,91,6.0,93.4065934065934,14.166666666666666
C Forshaw,18,21,1.0,85.71428571428571,18.0
C Green,155,99,6.0,156.56565656565658,25.833333333333332
C Greenshields,1,5,1.0,20.0,1.0
C Hartmann,86,109,11.0,78.89908256880734,7.818181818181818
C Hauptfleisch,68,87,4.0,78.16091954022988,17.0
C Henery,75,71,4.0,105.63380281690141,18.75
C Hinze,73,82,7.0,89.02439024390245,10.428571428571429
C Jonker,8,5,1.0,160.0,8.0
C Karunaratne,152,162,9.0,93.82716049382715,16.88888888888889
C Kieswetter,207,180,9.0,114.99999999999999,23.0
C Kyewuta,77,66,9.0,116.66666666666667,8.555555555555555
C Liebenberg,1,1,1.0,100.0,1.0
C Lokuge,39,59,3.0,66.10169491525424,13.0
C Madande,383,319,15.0,120.06269592476488,25.533333333333335
C Magaia,284,341,19.0,83.28445747800586,14.947368421052632
C Mahamalage,98,180,9.0,54.44444444444444,10.88888888888889
C Miles,103,97,4.0,106.18556701030928,25.75
C Munoz-Mills,73,68,5.0,107.35294117647058,14.6
C Munro,1237,791,34.0,156.3843236409608,36.38235294117647
C Murray,17,27,6.0,62.96296296296296,2.8333333333333335
C Murrombe,27,102,5.0,26.47058823529412,5.4
C Mutasa,5,5,1.0,100.0,5.0
C Muthoni,136,198,12.0,68.68686868686868,11.333333333333334
